Date,EUR,JPY,CHF,GBP,CAD,AUD
2000-09-01,1.1115,105.79,1.7232,0.6847,1.4731,1.734
2000-09-04,1.113,105.82,1.7285,0.6856,1.4737,1.7376
2000-09-05,1.1251,105.85,1.7462,0.6878,1.475,1.7565
2000-09-06,1.149,105.87,1.7783,0.695,1.4812,1.7693
2000-09-07,1.1447,105.04,1.7732,0.6953,1.4769,1.7889
2000-09-08,1.1501,106.1,1.7794,0.7038,1.4768,1.7957
2000-09-11,1.1647,106.04,1.7739,0.71,1.48,1.7825
2000-09-12,1.1592,106.91,1.7674,0.7109,1.4816,1.7899
2000-09-13,1.161,107.14,1.7672,0.7097,1.483,1.7999
2000-09-14,1.1565,107.59,1.7724,0.711,1.4874,1.8179
2000-09-15,1.1688,107.3,1.7837,0.7147,1.4839,1.8315
2000-09-18,1.1711,106.95,1.7835,0.7113,1.488,1.8443